"Label (Grouping)","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error"
"Total:","104,365","±2,015","229,513","±1,115","75,145","±827","79,332","±522","366,849","±1,384","1,131,522","±1,480","73,406","±401","91,459","±1,512","109,287","±1,294","331,129","±966","78,723","±826","425,264","±1,024","88,794","±2,051","477,071","±2,861","94,143","±921","82,399","±682","142,567","±613","155,889","±1,414","69,527","±717","152,954","±1,195","246,683","±1,637","133,271","±965","68,494","±1,827","177,109","±2,164","210,425","±3,167","94,395","±1,689","218,903","±2,030","97,370","±932","95,056","±1,280","446,021","±1,881"
"    Under .50","2,483","±1,020","11,076","±3,679","3,946","±1,869","2,107","±1,013","12,751","±3,050","41,426","±6,144","1,576","±762","4,426","±2,355","4,139","±2,099","7,701","±2,316","1,820","±876","10,315","±3,259","17,823","±3,033","14,519","±4,006","4,607","±1,921","2,342","±1,080","6,341","±2,738","3,413","±1,401","1,090","±578","8,447","±2,765","9,405","±2,766","5,426","±1,544","5,543","±1,656","13,611","±3,665","16,273","±3,966","11,688","±3,295","21,980","±3,556","8,598","±2,645","4,303","±1,314","16,772","±3,820"
"    .50 to .74","1,627","±1,467","4,697","±2,028","856","±713","3,404","±2,603","8,195","±4,259","17,579","±5,282","1,187","±817","1,665","±1,043","1,386","±909","7,814","±2,365","877","±799","1,994","±796","2,826","±1,105","4,996","±1,933","2,911","±1,329","2,565","±1,365","1,333","±1,088","960","±678","328","±415","3,988","±1,602","5,147","±2,238","4,461","±1,954","3,533","±1,544","5,396","±2,034","7,044","±2,399","991","±547","13,292","±4,152","5,321","±2,711","2,361","±1,211","10,008","±2,771"
"    .75 to .99","1,783","±1,277","3,580","±1,249","1,320","±1,031","1,098","±569","6,560","±2,251","21,436","±5,610","2,476","±1,616","1,977","±1,551","3,464","±1,780","5,016","±1,857","3,900","±2,510","2,722","±1,431","3,885","±2,443","10,931","±3,898","1,781","±948","1,240","±643","3,026","±1,596","3,305","±2,216","1,576","±939","3,450","±1,595","4,876","±1,779","4,526","±1,925","2,829","±1,426","8,297","±2,440","7,709","±2,422","3,491","±1,586","10,943","±2,998","3,333","±1,194","3,015","±1,643","16,210","±5,536"
"    1.00 to 1.24","3,511","±2,085","3,181","±1,972","3,474","±1,715","3,787","±1,502","7,782","±3,402","16,641","±3,897","842","±618","1,382","±1,253","1,924","±959","10,135","±3,546","871","±746","3,805","±1,278","1,964","±1,197","13,079","±3,578","3,126","±1,683","3,672","±2,122","2,190","±1,027","1,139","±850","952","±672","4,389","±1,885","5,376","±3,269","7,795","±3,249","3,544","±1,759","9,165","±3,295","7,987","±2,595","8,035","±2,508","12,480","±3,847","4,320","±1,816","3,096","±1,616","12,021","±3,111"
"    1.25 to 1.49","3,202","±1,634","2,308","±1,024","1,807","±1,346","2,316","±1,344","9,506","±3,303","25,222","±5,525","1,462","±894","3,912","±1,814","1,626","±925","12,943","±4,005","779","±679","5,475","±2,872","2,325","±980","13,530","±4,790","4,321","±1,485","2,154","±1,059","3,864","±2,485","3,253","±1,871","1,690","±1,401","2,509","±1,694","9,990","±4,044","6,597","±2,511","5,355","±2,761","4,828","±1,580","11,480","±2,938","3,341","±1,743","9,061","±2,204","4,564","±1,499","3,024","±1,493","12,203","±3,094"
"    1.50 to 1.74","1,702","±863","3,126","±1,848","3,481","±1,354","1,974","±1,174","11,925","±5,789","18,880","±4,384","1,357","±669","5,501","±3,435","2,071","±1,224","9,701","±3,394","1,768","±1,257","6,558","±3,314","1,643","±696","11,742","±3,917","3,288","±1,450","2,552","±1,515","4,192","±1,911","2,147","±1,219","770","±716","3,510","±1,330","6,571","±2,313","5,744","±2,377","3,810","±1,908","6,828","±2,537","9,961","±2,429","3,578","±1,881","9,297","±2,497","3,038","±1,286","3,494","±2,313","13,107","±3,589"
"    1.75 to 1.84","460","±357","2,989","±1,670","1,781","±1,316","1,696","±1,329","5,116","±1,545","8,797","±3,408","987","±1,112","102","±130","808","±879","3,997","±1,474","452","±476","2,579","±1,894","3,294","±2,158","5,176","±2,976","988","±696","663","±564","3,854","±2,527","955","±640","911","±1,120","4,137","±2,897","2,562","±1,327","3,899","±2,473","1,276","±1,141","2,045","±975","3,675","±1,306","1,893","±1,282","4,389","±1,764","1,721","±1,032","1,606","±1,487","7,017","±2,749"
"    1.85 to 1.99","788","±536","2,252","±1,461","1,271","±890","3,207","±1,683","8,036","±2,975","11,496","±3,458","775","±858","1,686","±1,262","1,717","±1,333","7,950","±2,664","1,048","±746","4,564","±2,385","1,617","±857","6,109","±2,327","1,957","±1,185","2,115","±1,116","2,508","±1,571","1,755","±919","3,049","±1,989","3,629","±2,125","5,015","±2,082","3,333","±1,687","791","±683","6,739","±3,040","4,459","±1,676","1,694","±953","5,414","±1,886","3,310","±1,915","3,167","±1,786","8,806","±3,261"
"    2.00 to 2.99","13,965","±4,052","16,323","±3,231","13,654","±3,258","14,543","±3,355","53,324","±7,103","86,810","±9,179","8,221","±2,755","16,316","±4,257","13,362","±3,865","47,725","±5,789","13,132","±3,859","25,929","±4,828","11,243","±3,033","54,013","±8,881","12,213","±3,474","18,244","±3,165","18,801","±4,096","22,105","±4,918","9,806","±2,667","14,492","±3,078","31,571","±5,122","25,503","±5,002","8,927","±2,444","31,055","±4,602","35,815","±4,465","21,198","±4,370","31,776","±3,933","20,780","±3,983","15,775","±3,412","60,667","±6,229"
