"Label (Grouping)","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error"
"Total:","102,175","±1,275","233,464","±1,207","70,290","±2,184","78,236","±556","347,984","±1,572","1,136,115","±2,479","70,947","±256","87,865","±588","105,886","±699","327,970","±988","75,799","±832","411,162","±1,194","88,935","±2,313","464,334","±1,973","91,835","±981","80,111","±629","135,189","±686","148,352","±1,557","66,366","±983","157,636","±1,011","238,736","±1,912","129,153","±1,420","72,374","±1,431","170,897","±2,490","217,451","±3,141","90,257","±2,043","219,742","±2,539","97,441","±601","91,512","±375","440,582","±2,109"
"    Income in the past 12 months below poverty level:","6,350","±1,615","20,084","±4,705","3,949","±1,476","6,572","±1,976","22,942","±4,647","68,141","±9,135","4,612","±1,899","5,137","±1,744","5,219","±1,873","29,123","±5,330","3,730","±1,402","12,489","±3,890","20,546","±3,672","29,203","±5,458","5,685","±1,782","5,709","±1,921","8,711","±2,525","8,820","±2,704","3,820","±1,506","13,479","±2,894","19,091","±5,160","17,829","±3,924","10,718","±3,062","25,244","±4,340","39,030","±4,023","17,323","±3,313","41,516","±5,283","20,092","±3,430","7,662","±2,501","29,839","±4,888"
"        Under 6 years","289","±326","1,803","±1,024","449","±467","457","±622","2,588","±1,055","8,287","±2,737","684","±488","136","±161","739","±676","3,634","±1,899","265","±332","957","±690","849","±725","3,757","±1,924","252","±256","322","±353","371","±351","1,004","±620","161","±207","1,681","±789","2,643","±1,413","2,072","±757","859","±614","3,598","±1,233","5,789","±1,500","2,174","±1,093","4,278","±1,509","2,591","±939","1,060","±722","2,593","±1,121"
"        6 to 11 years","95","±126","1,907","±796","347","±289","278","±330","2,938","±1,416","5,878","±1,962","247","±326","680","±521","128","±148","2,775","±1,239","246","±298","968","±824","426","±318","3,302","±1,422","526","±453","839","±586","754","±491","1,150","±659","406","±491","1,547","±749","2,311","±1,183","1,979","±919","304","±261","3,434","±1,228","4,725","±1,118","2,670","±1,445","3,000","±1,240","2,393","±1,326","848","±489","3,285","±1,430"
"        12 to 17 years","401","±610","1,282","±788","352","±323","322","±324","2,106","±1,039","8,030","±2,591","417","±320","680","±445","346","±278","4,104","±1,407","286","±333","983","±462","789","±637","3,440","±1,318","502","±424","837","±548","1,334","±761","872","±577","234","±234","740","±475","2,494","±1,177","1,690","±1,010","701","±411","2,578","±1,041","2,954","±958","1,400","±812","1,950","±921","1,931","±560","1,096","±785","2,774","±1,032"
"        18 to 59 years","4,107","±1,219","12,133","±2,732","2,034","±891","3,581","±1,274","11,426","±2,605","36,051","±4,782","2,547","±1,111","2,407","±983","2,505","±1,007","13,367","±2,661","1,925","±833","8,329","±2,562","17,896","±2,919","15,848","±3,152","3,561","±1,253","2,855","±932","3,915","±1,194","4,780","±1,353","1,797","±896","8,244","±1,888","9,353","±2,734","9,892","±2,214","7,810","±2,446","11,035","±2,010","20,622","±2,510","8,546","±2,075","25,057","±3,160","10,210","±2,252","3,487","±1,148","16,485","±2,808"
"        60 to 74 years","958","±776","2,605","±1,102","563","±392","1,099","±604","2,243","±884","6,602","±1,638","506","±318","808","±518","1,208","±643","2,664","±965","444","±293","525","±298","381","±335","1,706","±624","431","±276","487","±279","1,648","±741","684","±355","742","±419","1,166","±546","1,726","±877","1,584","±748","785","±396","3,666","±1,312","3,801","±1,096","2,063","±796","5,493","±1,316","2,350","±708","841","±389","3,184","±899"
"        75 to 84 years","434","±263","93","±151","126","±199","827","±518","500","±302","2,687","±974","211","±173","222","±201","261","±268","1,787","±788","265","±386","342","±216","205","±200","921","±465","339","±370","54","±65","619","±402","306","±196","277","±301","72","±100","469","±283","491","±311","176","±198","579","±313","892","±447","431","±254","1,657","±873","265","±257","165","±149","1,116","±486"
"        85 years and over","66","±115","261","±286","78","±130","8","±16","1,141","±579","606","±392","0","±208","204","±183","32","±68","792","±517","299","±250","385","±337","0","±208","229","±303","74","±122","315","±234","70","±85","24","±40","203","±143","29","±50","95","±158","121","±139","83","±95","354","±303","247","±222","39","±69","81","±139","352","±452","165","±157","402","±347"
"    Income in the past 12 months at or above poverty level:","95,825","±1,977","213,380","±4,940","66,341","±2,291","71,664","±2,026","325,042","±4,867","1,067,974","±9,442","66,335","±1,899","82,728","±1,750","100,667","±1,999","298,847","±5,380","72,069","±1,573","398,673","±4,180","68,389","±3,304","435,131","±5,940","86,150","±2,062","74,402","±2,035","126,478","±2,733","139,532","±3,195","62,546","±1,722","144,157","±3,074","219,645","±5,521","111,324","±4,154","61,656","±3,245","145,653","±4,723","178,421","±4,940","72,934","±3,500","178,226","±5,318","77,349","±3,440","83,850","±2,482","410,743","±5,430"
"        Under 6 years","5,948","±722","13,387","±1,090","3,757","±627","4,383","±889","22,563","±1,455","73,988","±3,547","3,819","±396","5,758","±686","4,743","±808","17,822","±1,993","4,238","±1,084","32,216","±1,445","3,776","±776","34,346","±2,293","4,960","±816","5,380","±681","10,410","±747","10,841","±1,108","4,724","±770","9,757","±947","16,303","±1,705","6,775","±1,124","4,844","±878","11,957","±1,343","13,042","±1,671","5,874","±1,040","11,253","±1,690","4,784","±844","5,878","±916","31,043","±1,756"
"        6 to 11 years","7,603","±851","12,369","±1,253","3,666","±673","4,577","±774","23,605","±2,242","81,179","±3,523","5,951","±864","5,555","±1,050","8,242","±1,101","23,288","±1,967","4,175","±829","38,768","±1,960","3,146","±914","38,816","±2,714","4,559","±837","4,656","±689","9,596","±1,185","11,864","±1,352","4,934","±882","7,514","±1,119","16,620","±1,807","6,717","±1,558","4,182","±1,148","10,352","±1,715","10,430","±1,473","4,373","±1,129","9,905","±1,312","3,892","±766","5,572","±1,060","28,941","±2,124"
"        12 to 17 years","6,818","±1,028","12,001","±1,518","3,946","±701","5,546","±1,038","27,173","±2,021","86,317","±4,307","5,333","±794","7,106","±1,353","8,669","±880","21,955","±2,228","5,760","±1,113","40,072","±1,827","4,726","±1,177","39,760","±2,526","7,556","±1,141","5,673","±764","10,662","±1,122","13,189","±1,251","5,470","±936","6,621","±1,359","17,470","±1,814","8,053","±1,212","4,473","±1,200","9,388","±1,679","9,654","±1,078","4,727","±1,082","7,922","±1,456","5,607","±1,628","7,334","±1,138","29,474","±1,759"
"        18 to 59 years","49,075","±2,029","143,530","±3,168","33,687","±2,013","34,863","±1,480","178,732","±3,176","607,671","±5,728","35,701","±1,608","42,270","±1,848","52,930","±1,332","167,601","±2,883","33,109","±1,387","231,667","±3,096","39,940","±2,427","252,193","±3,657","43,701","±1,851","38,143","±1,565","70,117","±1,734","82,114","±2,140","33,257","±1,572","93,998","±2,662","121,659","±3,622","61,720","±2,661","34,444","±2,675","83,720","±3,151","108,950","±3,573","41,013","±2,504","110,788","±3,768","44,875","±2,430","47,489","±1,359","232,770","±3,862"
"        60 to 74 years","18,283","±1,514","22,552","±1,604","14,357","±1,167","16,053","±1,047","55,433","±2,014","158,819","±3,310","11,210","±880","15,845","±1,536","18,341","±1,072","49,057","±2,353","16,901","±966","41,374","±1,498","11,722","±1,158","54,034","±2,091","17,643","±919","13,869","±1,199","18,835","±1,373","15,991","±1,255","10,061","±838","19,721","±1,571","36,091","±1,690","19,817","±1,260","9,312","±759","21,652","±1,568","26,874","±1,576","11,642","±1,093","27,976","±2,105","13,062","±1,247","12,659","±801","63,524","±2,398"
"        75 to 84 years","5,727","±772","7,485","±854","5,100","±657","4,266","±789","13,543","±1,167","43,758","±1,914","2,518","±588","4,875","±636","5,368","±693","13,210","±1,243","6,531","±712","10,968","±885","3,790","±629","12,743","±1,161","5,729","±814","4,116","±651","5,061","±723","4,590","±682","2,888","±570","4,088","±755","8,955","±901","5,927","±600","3,299","±675","6,019","±641","6,346","±797","3,644","±532","6,636","±1,048","3,242","±895","3,727","±479","18,883","±1,623"
"        85 years and over","2,371","±855","2,056","±596","1,828","±566","1,976","±630","3,993","±894","16,242","±1,781","1,803","±478","1,319","±532","2,374","±738","5,914","±1,171","1,355","±504","3,608","±783","1,289","±484","3,239","±789","2,002","±681","2,565","±737","1,797","±577","943","±373","1,212","±503","2,458","±719","2,547","±855","2,315","±630","1,102","±446","2,565","±633","3,125","±721","1,661","±522","3,746","±982","1,887","±650","1,191","±424","6,108","±1,385"
