"Label (Grouping)","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","106,519","±812","229,615","±916","73,782","±464","76,569","±474","339,709","±1,422","1,104,326","±1,744","68,707","±515","86,487","±623","105,124","±443","319,854","±1,215","74,325","±926","398,316","±1,265","95,834","±587","448,945","±1,552","91,312","±677","79,148","±589","131,175","±779","147,209","±915","65,872","±518","152,832","±784","236,302","±1,385","129,012","±833","78,954","±677","170,878","±1,049","233,339","±1,011","90,384","±813","221,548","±1,129","96,117","±869","88,779","±735","432,895","±1,762","316,992,457","±42,677"
"    Enrolled in school:","32,169","±1,580","52,004","±2,395","13,763","±1,374","17,768","±1,588","89,656","±2,855","299,576","±5,054","17,337","±1,117","20,261","±1,534","27,072","±1,410","80,355","±2,697","16,448","±1,518","123,851","±2,808","38,843","±2,325","138,379","±3,180","19,711","±1,168","18,804","±1,432","34,691","±1,560","41,577","±1,998","17,351","±1,427","31,328","±2,042","65,265","±3,596","35,600","±1,793","28,549","±1,574","45,996","±2,332","63,329","±2,954","22,638","±1,458","55,102","±3,162","20,278","±1,605","24,976","±1,646","112,807","±3,526","80,465,620","±90,327"
"        Enrolled in nursery school, preschool","2,337","±635","4,623","±936","1,374","±561","1,235","±490","5,932","±1,434","18,868","±1,492","817","±354","1,680","±734","1,844","±580","4,366","±1,119","1,409","±615","8,351","±1,256","773","±484","6,993","±1,249","1,074","±603","472","±383","1,811","±709","2,568","±867","1,125","±531","2,636","±652","4,052","±1,212","2,015","±720","777","±418","4,416","±1,087","4,199","±1,005","1,714","±785","3,273","±999","1,562","±612","2,655","±737","9,051","±1,782","5,044,389","±39,125"
"        Enrolled in kindergarten","1,081","±514","2,457","±726","842","±444","737","±411","3,393","±972","15,814","±2,539","992","±424","476","±360","582","±353","3,368","±1,074","639","±397","5,230","±1,286","604","±405","6,244","±1,659","483","±332","1,297","±485","2,065","±730","1,588","±630","759","±616","1,011","±396","3,483","±1,219","1,421","±663","776","±401","1,323","±587","3,438","±929","607","±350","2,965","±973","932","±478","1,100","±508","4,087","±1,049","4,011,764","±36,839"
"        Enrolled in grade 1 to grade 4","5,307","±915","8,195","±1,375","2,891","±694","3,874","±760","18,515","±1,825","55,610","±2,872","3,879","±680","4,368","±979","5,899","±954","17,261","±1,990","3,098","±838","25,647","±1,898","2,363","±699","27,793","±3,023","3,558","±881","4,121","±595","7,036","±964","8,980","±980","3,882","±763","6,946","±1,460","13,761","±1,648","5,699","±1,327","3,274","±991","9,751","±1,545","9,749","±1,136","5,175","±1,278","9,144","±1,482","4,413","±1,085","4,973","±1,111","22,646","±1,777","15,728,625","±56,885"
"        Enrolled in grade 5 to grade 8","4,495","±911","11,899","±1,623","2,903","±474","3,511","±1,006","19,519","±1,883","61,018","±2,813","4,311","±821","6,238","±1,234","6,041","±947","18,845","±2,580","3,803","±1,091","29,640","±2,018","2,758","±742","31,407","±2,796","5,129","±1,033","3,543","±628","8,979","±1,049","8,335","±1,188","3,804","±915","5,131","±1,212","12,489","±1,948","5,505","±1,092","4,192","±826","8,784","±1,585","10,053","±1,409","3,809","±1,018","6,860","±1,286","4,600","±867","5,025","±986","21,069","±1,978","16,918,899","±64,578"
"        Enrolled in grade 9 to grade 12","5,822","±1,024","7,140","±840","2,978","±679","4,538","±727","20,927","±1,634","66,954","±2,997","3,610","±626","4,381","±805","6,128","±627","17,613","±941","3,712","±738","28,350","±1,822","3,398","±583","28,486","±1,440","5,505","±825","4,292","±571","7,808","±778","9,947","±977","3,426","±546","5,571","±790","14,710","±1,471","7,670","±1,199","2,643","±640","8,003","±1,028","8,196","±1,144","4,936","±996","6,859","±747","4,481","±1,055","5,652","±837","22,432","±1,404","16,932,635","±40,046"
"        Enrolled in college, undergraduate years","9,869","±1,183","7,702","±1,624","2,142","±929","2,603","±924","17,124","±2,395","57,120","±4,145","3,161","±661","2,528","±1,062","5,411","±1,007","14,952","±2,096","2,927","±945","18,566","±2,338","24,426","±2,232","28,661","±3,135","3,676","±842","3,532","±728","5,545","±1,233","7,981","±1,576","2,920","±1,054","4,847","±1,389","12,934","±2,236","11,561","±1,631","13,626","±1,445","11,371","±1,862","22,055","±2,485","5,279","±1,243","20,944","±2,782","2,795","±1,125","3,790","±913","26,024","±2,594","17,507,427","±67,260"
"        Graduate or professional school","3,258","±858","9,988","±1,668","633","±462","1,270","±822","4,246","±1,158","24,192","±2,792","567","±287","590","±393","1,167","±600","3,950","±1,180","860","±441","8,067","±1,857","4,521","±1,233","8,795","±1,479","286","±257","1,547","±1,102","1,447","±596","2,178","±812","1,435","±562","5,186","±1,336","3,836","±1,698","1,729","±796","3,261","±1,086","2,348","±971","5,639","±1,020","1,118","±574","5,057","±1,199","1,495","±843","1,781","±790","7,498","±1,837","4,321,881","±44,244"
"    Not enrolled in school","74,350","±1,407","177,611","±2,425","60,019","±1,377","58,801","±1,639","250,053","±2,978","804,750","±4,994","51,370","±1,045","66,226","±1,217","78,052","±1,324","239,499","±2,671","57,877","±1,101","274,465","±2,927","56,991","±2,148","310,566","±3,471","71,601","±1,123","60,344","±1,382","96,484","±1,570","105,632","±2,015","48,521","±1,381","121,504","±2,072","171,037","±3,547","93,412","±1,746","50,405","±1,760","124,882","±2,136","170,010","±2,848","67,746","±1,591","166,446","±3,097","75,839","±1,702","63,803","±1,433","320,088","±3,583","236,526,837","±89,656"
